Time,Percentage resistant isolates,Change in percentage resistant isolates
2005,0.000000,
2006,0.000000,0.000000
2007,0.000000,0.000000
2008,0.000000,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,1.851852,1.851852
2013,0.000000,-1.851852
2014,7.194245,7.194245
2015,3.157895,-4.036350
2016,4.402516,1.244621
2017,12.426036,8.023520
2018,21.243523,8.817488
2019,26.966292,5.722769
2020,28.112450,1.146158
2021,46.280992,18.168542
2022,47.307692,1.026701
2023,56.790123,9.482431
,,
,,
,,
,0.000000,
,0.000000,
,0.000000,
,0.000000,
,0.000000,
,0.000000,
,1.851852,
,-1.851852,
,7.194245,
,-4.036350,
,1.244621,
,8.023520,
,8.817488,
,5.722769,
,1.146158,
,18.168542,
,1.026701,
,9.482431,
